prefName,Label,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
schema:ExerciseGym,Fitnessraum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:FinancialService,Finanzdienstleister,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:FoodEstablishment,Speiselokal,Essen,Essensbetrieb,etwas essen,hunger,essen gehen,essen zu gehen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:GasStation,Tankstelle,Tank stelle,Tank stellen,Tanke,Tanksaeule,Tankstelle,Tankstellen,Tanksäule,Tanksäulen,Zapfsaeule,Zapfsäule,Zapfsäulen,tanken,tankstelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:GolfCourse,Golfplatz,Golf,Golfanlage,Golfanlagen,Golfcart,Golfen,Golfplatz,Golfplätze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:GovernmentBuilding,Regierungsgebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:GroceryStore,Lebensmittelmarkt,Einkaufsmarkt,Essen einkaufen,Essen kaufen,Gemüse,Gemüsegeschäft,Gemüsegeschäfte,Gemüseladen,Gemüseläden,Gemüsemarkt,Gemüsemärkte,Lebensmittel,Lebensmittel einkaufen,Lebensmittel geschaeft,Lebensmittel geschäft,Lebensmittel kaufen,Lebensmittel zu kaufen,Lebensmittelgeschaeft,Lebensmittelgeschäft,Lebensmittelladen,Lebensmittelläden,Obst,Obstgeschäft,Obstgeschäfte,Obstladen,Obstläden,Obstmarkt,Obstmärkte,Obstsalat,Salat,Spar,Sparmarkt,Supermarkt,Supermärkte,Geschäft,Geschäfte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:HealthAndBeautyBusiness,Gesundheits- und Beautybereich,Beautyeinrichtungen,Gesundheitseinrichtungen,Kosmetikbehandlung,Kosmetikladen,Kosmetiksalon,Schönheitseinrichtungen,Wellness-Einrichtungen,Wellnessangebote,wellness,wellnessen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:HealthClub,Fitnesscenter,Fitnessclubs,HealthClub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:HobbyShop,Hobbygeschäft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Hospital,Krankenhaus,Hospital,Hospitäler,Klinik,Kliniken,Klinikum,Klink/Krankenhaus,Krankenhaus,Krankenhäuser,Notaufnahme,Spital,Spitäler,Verletzung behandeln,Verletzungen behandelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Hostel,Herberge,Ferienwohnheime,Hostel,Wohnheim,Wohnheime,hostels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Hotel,Hotel,Hotelanbieter,Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:HotelRoom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:House,,Häuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Intangible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:LakeBodyOfWater,See,Seen,Stausee,Stauseen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Landform,Landform,Landschaften,Landschaftsform,Landschaftsformen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:LandmarksOrHistoricalBuildings,Wahrzeichen oder historisches Bauwerk,historische Gebäude,historisches Gebäude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Library,Bibliothek,Bibliotheken,Buecherei,Buechereien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:LiquorStore,Sprituosenladen,Schnapsläden,Spirituosen,Spirituosen Geschäft,Spirituosen Geschäfte,Spirituosen Laden,Spirituosen Läden,Spirituosen-Geschäft,Spirituosen-Geschäfte,Spirituosen-Laden,Spirituosen-Läden,Spirituosengeschäft,Spirituosengeschäfte,Spirituosenladen,Spirituosenläden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:LocalBusiness,Unternehmen,Betrieb,Betriebe,LocalBusiness,Unternehmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:LodgingBusiness,Unterkunft,Beherbergungsbetriebe,Beherbergungsunternehmen,Herberge,Herbergen,Platz zum schlafen,Unterkunft,Unterkünfte,Unterkünften,Vermieter,Zimmer,schlafen,uebernachten,Übernachtungsmöglichkeit,Übernachtungsmöglichkeiten,übernachten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:MediacalBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:MedicalBusiness,Medizinisches Geschäft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:MedicalOrganization,Medizinische Organisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:MensClothingStore,Herrenbekleidungsgeschäft,Bekleidungsgeschäft für Männer,Herrenkleidungsgeschäft,Herrenkleidungsgeschäfte,Herrenmode,Männerkleidungsgeschäft,Männerkleidungsgeschäfte,Männermode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:MovieTheater,Kino,Kino-Film,Kino-Filme,Kinofilm,Kinofilme,Kinos,Silent Cinema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Museum,Museum,Ausstellungen,Museen,Museum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:MusicStore,Musikladen,Instrument reparieren,Instrumentengeschäft,Instrumentenladen,Musik kaufen,Musikgeschäft,Musikladen,Musikshop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:NightClub,Nachtclub,Clubs,Disco,Discos,Discothek,Discotheken,Disko,Diskos,Diskothek,Diskotheken,Nachtclub,Nachtclubs,Party machen,Tanzlokal,Tanzlokale,ausgehen,feier gehen,feiern,nightclub,tanzen,tanzen gehen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Organization,Organisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Park,Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:ParkingFacility,Parkplatz,Garagen,Parkgarage,Parkgaragen,Parkhaus,Parkhäuser,Parkplatz,Parkplätze,parken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:PerformingArtsTheater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:PerformingGroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Person,Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Pharmacy,Apotheke,Apotheken,Medikament,Medikamente,Pharmazie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Physiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Place,Ort,Orte,Place,Platz,Plätze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:PlaceOfWorship,Gotteshaus,Gottesdienst,Gottesdienste,Katholische,Kloester,Kloster,Klöster,Neuapostolische,Sonntagsmesse,Stifte,evangelischen Gottesdienst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Playground,Spielplatz,Kinderspielplätze,Rutsche,Rutschen,Schaukel,Schaukeln,Spielpark,Spielparks,Spielplatz,Spielplätze,schaukeln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:PublicSwimmingPool,Öffentliches Schwimmbad,Baeder,Becken,Bäder,Pool,Schwimmbad,Schwimmbaeder,Schwimmbecken,Schwimmbäder,Swimming Pool,schwimmen,schwimmen gehen,öffentlicher Swimming Pool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:PublicToilet,Öffentliche Toilette,Aborte,Klo,Klos,Klosett,Klosetts,Toilet,Toilette,Toiletten,WC,WCs,öffenentliche Toiletten,öffentliche Abort,öffentliche Aborte,öffentliche Klo,öffentliche Klos,öffentliche Klosett,öffentliche Klosetts,öffentliche Toilette,öffentliche Toiletten,öffentliche WC,öffentliche WCs,öffentliches WC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:RVPark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
