prefName,Label,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
schema:Reservation,Reservierung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Reservoir,Stausee,Grundwasserschutzgebiete,Reservoir,Reservoirs,Wasserkraftwerk,Wasserkraftwerke,Wasserreserve,Wasserreserven,Wasserschutzgebiet,Wasserschutzgebiete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Restaurant,Restaurant,Essen,Gasthaus,Gasthäuser,Gastro,Gastronomie,Gastronomieinfrastruktur,Gastros,Gaststätte,Gaststätten,Gourmetrestaurant,Klassifiziertes Gourmetrestaurant,Restaurant,Restaurants,Schnitzel,Schnitzl,Speiselokal,Speiselokale,warm essen,warme Kueche,warme Küche,warmem Essen,warmen Essen,warmen Kueche,warmen Küche,warmer Kueche,warmer Küche,warmes Essen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:RiverBodyOfWater,Fluss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Room,Zimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:School,Schule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:ShoppingCenter,Einkaufszentrum,Einkaufscenter,Einkaufszentren,Einkaufszentrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:SocialEvent,Soziale Veranstaltung,Gesellschaftliche Events,Gesellschaftliche Veranstaltung,Gesellschaftliche Veranstaltungen,Gesellschaftliches Ereignis,Gesellschaftliches Event,Soziale Events,Soziale Veranstaltung,Soziale Veranstaltungen,Soziales Event,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:SocialMediaPosting,Social Media Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:SportsActivityLocation,Sportanlage,Freizeitanlage,Freizeitanlgaen,Freizeitpark,Freizeitparks,Sport,Sport machen,Sportanbieter,Sportanlage,Sportanlagen,Sportinfrastruktur,Sportplatz,Sportplätze,SportsActivityLocation,sporteln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:SportsEvent,SportsEvent,Event für Sport,Event zum Sport,Event zum sporteln,Events Sport,Events für Sport,Events zum Sport,Events zum sporteln,Sport Event,Sport Events,Sport Feier,Sport Feiern,Sport Fest,Sport Feste,Sport Veranstaltung,Sport Veranstaltungen,Sport-Event,Sport-Events,Sport-Feier,Sport-Feiern,Sport-Fest,Sport-Feste,Sport-Veranstaltung,Sport-Veranstaltungen,Sportevent,Sportevents,Sportfeier,Sportfeiern,Sportfest,Sportfeste,Sportliche Events,Sportliche Fest,Sportliche Festen,Sportliche Veranstaltung,Sportliche Veranstaltungen,Sportlichen Event,Sportlichen Events,Sportlichen Fest,Sportlichen Festen,Sportlichen Veranstaltung,Sportlichen Veranstaltungen,Sportliches Event,Sportliches Fest,Sportveranstaltung,Sportveranstaltungen,Veranstaltung Sport,Veranstaltung für Sport,Veranstaltung zum Sport,Veranstaltung zum sporteln,Veranstaltungen Sport,Veranstaltungen für Sport,Veranstaltungen zum Sport,Veranstaltungen zum sporteln,zum Sport machen,zum Sporteln,,,,,,,,,,,,,,,,,,,,,,,,,
schema:SportsOrganization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:StadiumOrArena,Stadion oder Arena,Stadion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Store,Geschäft,Einkaufsinfrastruktur,Einkaufsmöglichkeit,Einkaufsmöglichkeiten,Kaufgeschäft,Kaufgeschäfte,Laden,Lebensmittel-Grosshändler,Läden,Shop,Shops,shoppen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:TaxiStand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:TheaterEvent,Theaterveranstaltung,Event für Theater,Event zum Theater,Events Theater,Events für Theater,Events zum Theater,Theater Event,Theater Events,Theater Veranstaltung,Theater Veranstaltungen,Theater-Event,Theater-Events,Theater-Veranstaltung,Theater-Veranstaltungen,Theaterevent,Theaterevents,Theaterveranstaltung,Theaterveranstaltungen,Veranstaltung Theater,Veranstaltung für Theater,Veranstaltung zum Theater,Veranstaltungen Theater,Veranstaltungen für Theater,Veranstaltungen zum Theater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Thing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:TouristAttraction,Touristenattraktion,Attraktionen,Sehenswürdigkeit,Sehenswürdigkeiten,Tourismusattraktion,TouristAttraction,Touristen Attraktion,Touristen-Attraktion,TouristenAttraktion,Touristenattraktionen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:TouristDestination,Touristdestination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:TouristInformationCenter,Touristeninformationszentrum,Auskunftsbüros,Fremdenverkehrsamt,Gästeinformation,Infobüro,Infobüros,Informationbüro,Informationbüros,Informationsbüro,Informationsbüros,Tour Infos,Touri Info,Touriinfo,Tourismus Büro,Tourismus Büros,Tourismus Information,Tourismus Informationen,Tourismusbüro,Tourismusbüros,Tourismusinformation,Tourismusinformationsbüro,Tourismusinformationsbüros,Tourist Information,Tourist Informations,Touristenbüro,Touristenbüros,Touristeninfo,Touristeninformation,Touristeninformationen,Touristinfo,Touristinformation,Touristinformationen,Touristinformationsbüro,Touristinformationsbüros,Touristinfos,Verkehrsbüro,Verkehrsbüros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:TrainStation,Bahnhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:TransportationStop,Haltestelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Trip,Reise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Winery,Weinkellerei,Weinkeller,Weinkellerei,wein trinken,guten wein trinken,einen guten wein trinken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schema:Zoo,Zoo,Tierparks,Wildpark,Wilparks,Zoo,Zoos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
